                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.97739,                 1.9693,                0.93993,                0.86771,                0.73085,                0.64979,                0.72817,                0.55956,                0.66244,                0.52149,                0.59558,                0.33203,                0.84426,                 2.0448,                0.92685,                0.84912,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.0396,                 2.0161,                0.94835,                0.86607,                0.71048,                0.64417,                0.71599,                0.53676,                0.60533,                0.51683,                0.56453,                0.29701,                0.87422,                 2.0844,                0.95274,                0.85239,              0.0010753,              0.0010753,              0.0010753
                     53,                0.95885,                 1.9989,                0.94237,                0.86726,                0.74615,                0.65372,                0.73554,                0.55053,                0.65094,                0.52935,                0.58685,                0.32684,                0.88542,                  2.114,                0.90884,                0.85094,              0.0010682,              0.0010682,              0.0010682
                     54,                 0.9736,                  2.004,                0.91672,                0.86637,                0.73622,                0.65612,                0.72879,                0.54949,                0.63308,                0.52615,                0.58134,                0.31783,                0.87706,                  2.025,                0.88616,                0.85345,              0.0010612,              0.0010612,              0.0010612
                     55,                0.97665,                 2.0158,                0.92664,                0.86907,                0.73904,                0.68943,                0.75579,                0.58149,                0.63894,                0.54606,                0.59859,                 0.3259,                 0.8129,                 2.0037,                0.87805,                0.84806,              0.0010541,              0.0010541,              0.0010541
                     56,                0.99526,                 1.9502,                 0.9172,                0.86666,                0.76542,                0.68266,                0.76285,                0.58086,                0.65826,                0.54634,                0.59952,                0.32707,                0.84203,                 2.0331,                0.88169,                0.84763,               0.001047,               0.001047,               0.001047
                     57,                  1.035,                 2.0357,                0.94045,                0.86607,                 0.7496,                0.68093,                 0.7545,                0.56546,                0.64415,                0.53941,                0.59121,                0.30663,                 0.8606,                 1.9643,                0.90158,                0.84948,                0.00104,                0.00104,                0.00104
                     58,                0.97751,                 1.9519,                0.92885,                0.86668,                0.74729,                0.65611,                0.73904,                0.56783,                 0.6729,                0.52961,                0.60347,                0.33212,                0.82858,                 1.9889,                0.89349,                0.84735,              0.0010329,              0.0010329,              0.0010329
                     59,                0.93713,                 1.8931,                 0.8848,                0.85602,                0.76606,                0.65391,                0.73864,                0.57385,                0.65288,                 0.5302,                0.58901,                0.32727,                0.82022,                 1.9916,                0.87185,                0.84645,              0.0010258,              0.0010258,              0.0010258
                     60,                0.97073,                 1.9669,                0.92079,                0.86309,                0.75072,                0.65903,                0.74318,                 0.5772,                0.65057,                0.53349,                0.59556,                0.33022,                0.81275,                 2.0178,                0.87297,                0.84549,              0.0010187,              0.0010187,              0.0010187
                     61,                0.92829,                 2.0423,                0.92067,                0.86333,                0.76207,                0.67806,                0.75889,                0.58846,                0.67319,                0.56152,                0.61838,                0.34813,                0.82421,                 2.0384,                0.88425,                0.84508,              0.0010117,              0.0010117,              0.0010117
                     62,                0.95214,                 1.9623,                0.90529,                0.86161,                0.76521,                0.67049,                0.75103,                0.57628,                0.66487,                0.54569,                0.60232,                0.32477,                0.83962,                 2.0082,                 0.8688,                 0.8497,              0.0010046,              0.0010046,              0.0010046
