                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.98786,                 2.0412,                0.93063,                 0.8671,                0.72495,                0.68736,                 0.7517,                0.55883,                0.66082,                0.55061,                0.61029,                0.34196,                0.86893,                 2.1322,                0.93923,                0.85197,              0.0011178,              0.0011178,              0.0011178
                     47,                0.99863,                 2.0449,                0.95402,                 0.8666,                0.73909,                0.68585,                 0.7552,                0.56884,                0.66361,                0.55908,                0.61802,                 0.3399,                0.83939,                 2.0374,                0.90727,                0.85088,              0.0011107,              0.0011107,              0.0011107
                     48,                0.98991,                 1.9684,                0.94065,                0.86934,                0.74679,                0.66678,                0.74991,                0.56956,                0.67416,                0.54313,                0.61848,                 0.3523,                 0.8301,                 2.0204,                0.90426,                0.85117,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.0254,                 2.0253,                0.92339,                0.86264,                0.73241,                0.67939,                0.74375,                0.54418,                0.62633,                0.54536,                0.58911,                0.31718,                0.90667,                 2.0182,                0.91659,                0.85674,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.0015,                 2.0048,                0.92924,                0.87018,                0.74361,                0.69519,                0.75577,                0.56613,                0.65047,                0.55049,                0.60301,                 0.3335,                0.87012,                 2.0324,                0.89152,                0.85461,              0.0010895,              0.0010895,              0.0010895
                     51,                0.97684,                 2.0372,                0.92726,                0.86747,                0.75275,                0.69455,                0.76073,                0.56721,                0.66903,                0.56773,                0.62492,                0.35341,                0.87765,                 1.9868,                0.87811,                0.85724,              0.0010824,              0.0010824,              0.0010824
                     52,                0.98103,                 2.0204,                0.92095,                0.87128,                 0.7611,                0.69162,                0.76463,                0.56075,                0.67397,                0.55854,                0.61783,                0.34187,                0.89897,                 2.0903,                0.87477,                 0.8561,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.0043,                 2.0529,                0.91684,                0.86812,                0.74924,                0.67503,                0.75102,                0.55915,                0.65743,                0.55005,                0.60317,                0.34041,                0.85103,                 2.0095,                0.89339,                 0.8517,              0.0010682,              0.0010682,              0.0010682
                     54,                0.98634,                  1.926,                0.89863,                0.86566,                0.75273,                0.67981,                0.75554,                0.57148,                0.67514,                0.55133,                0.61785,                0.35817,                0.82855,                 2.0104,                0.88076,                0.84872,              0.0010612,              0.0010612,              0.0010612
                     55,                0.99097,                  2.036,                0.91001,                0.86613,                0.74553,                 0.6821,                0.75313,                0.56222,                0.66115,                0.56419,                 0.6187,                0.33514,                0.86722,                 1.9736,                0.88822,                0.85078,              0.0010541,              0.0010541,              0.0010541
                     56,                0.95922,                 1.9347,                 0.8916,                0.86191,                0.77445,                0.67341,                0.76479,                0.56988,                0.68584,                0.55399,                0.62002,                0.33708,                0.84588,                 1.9871,                0.86235,                0.84841,               0.001047,               0.001047,               0.001047
                     57,                0.98342,                 2.0084,                0.88965,                 0.8579,                0.71078,                0.66992,                0.73954,                0.55121,                0.65845,                 0.5309,                0.59085,                0.32332,                0.83335,                 2.1922,                0.95156,                0.84708,                0.00104,                0.00104,                0.00104
                     58,                0.96515,                 2.0017,                0.90617,                0.86059,                0.72622,                 0.6888,                0.75566,                 0.5753,                0.68322,                0.54387,                0.61368,                0.34376,                0.81304,                 2.0492,                0.90737,                0.84667,              0.0010329,              0.0010329,              0.0010329
                     59,                0.99727,                 1.9528,                0.87975,                0.86166,                0.76086,                0.69489,                0.76899,                0.57314,                0.68014,                0.57078,                0.63402,                0.35337,                 0.8749,                 1.9352,                 0.8504,                0.85535,              0.0010258,              0.0010258,              0.0010258
                     60,                0.98473,                 1.9428,                0.89173,                0.86159,                0.75241,                 0.6859,                0.76334,                 0.5713,                0.66245,                0.56774,                0.62189,                0.34255,                0.84019,                 1.9118,                0.86649,                0.85282,              0.0010187,              0.0010187,              0.0010187
                     61,                0.94942,                 1.9412,                0.89442,                0.86394,                0.75187,                0.69507,                0.76202,                0.56752,                0.65308,                 0.5618,                0.61166,                 0.3447,                 0.8578,                 2.0848,                0.87865,                0.84886,              0.0010117,              0.0010117,              0.0010117
                     62,                 0.9695,                  1.928,                0.88625,                0.86132,                0.74756,                0.69485,                0.75674,                 0.5575,                0.64543,                0.55955,                0.60588,                0.33313,                0.89826,                 1.9878,                0.87465,                0.85733,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.0016,                 1.9749,                0.93845,                0.87386,                 0.7571,                0.69348,                0.76436,                0.58678,                0.66137,                0.58418,                0.63425,                0.37803,                0.81355,                 1.9186,                0.85568,                0.84776,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.0057,                 1.9778,                 0.8906,                0.86258,                0.75202,                0.70167,                0.77438,                0.59351,                0.67263,                0.58616,                0.64446,                0.38152,                 0.8031,                 1.9793,                0.86265,                0.84382,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.0217,                  2.097,                0.91782,                0.85829,                0.73799,                0.68782,                0.75727,                 0.5436,                0.65437,                0.54285,                0.59847,                0.31984,                0.90459,                 1.9864,                0.89512,                0.85223,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.0792,                 1.9817,                0.93756,                 0.8656,                0.74365,                0.68957,                0.75702,                0.53055,                 0.6501,                0.53218,                0.58649,                0.31089,                0.94789,                 1.9787,                0.89236,                0.85488,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.0079,                 1.9431,                0.90694,                0.86216,                0.76919,                0.69778,                0.76896,                 0.5865,                 0.6808,                0.57804,                0.63001,                0.37002,                0.81121,                 2.0032,                0.86229,                0.84276,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.0755,                 2.0296,                0.92715,                0.87097,                0.77199,                0.69992,                0.77541,                0.59149,                0.69761,                0.58451,                0.64682,                0.38963,                0.81311,                 1.9806,                0.85434,                0.84248,             0.00096215,             0.00096215,             0.00096215
                     69,                0.99031,                 1.9724,                0.87759,                0.85887,                0.76268,                0.68644,                0.76222,                0.57727,                 0.6711,                0.57192,                0.62973,                0.35175,                0.84431,                  1.921,                0.86195,                0.85013,             0.00095507,             0.00095507,             0.00095507
                     70,                0.95553,                 1.9393,                0.87816,                0.85799,                0.77129,                0.69634,                0.77509,                0.58088,                0.66733,                0.57065,                0.62709,                0.34655,                 0.8512,                 1.9667,                0.84691,                0.84651,               0.000948,               0.000948,               0.000948
                     71,                0.95272,                 1.9269,                0.87819,                0.85997,                0.77685,                0.70698,                0.78143,                0.58839,                0.68387,                0.55778,                0.62017,                0.34681,                0.81636,                 2.0659,                0.84409,                0.84238,             0.00094093,             0.00094093,             0.00094093
                     72,                 0.9611,                 1.9439,                0.88598,                0.86533,                0.77968,                0.69511,                0.77827,                0.59649,                0.67163,                0.56676,                0.62129,                0.35124,                0.78614,                 1.9494,                0.83156,                0.84252,             0.00093385,             0.00093385,             0.00093385
                     73,                0.97113,                 1.9697,                0.90245,                0.87018,                0.74775,                0.66392,                0.74722,                0.56002,                0.65632,                0.56233,                0.61781,                0.34742,                0.85689,                 2.0461,                0.89091,                0.85821,             0.00092678,             0.00092678,             0.00092678
                     74,                 0.9836,                 1.9802,                0.90166,                0.86922,                0.74734,                0.67276,                0.75286,                 0.5619,                0.67459,                 0.5703,                0.63446,                0.36688,                0.87675,                 2.0073,                0.89284,                0.85583,              0.0009197,              0.0009197,              0.0009197
                     75,                  1.024,                 2.0004,                0.90335,                0.86963,                0.76526,                0.70338,                0.77558,                0.57704,                0.67073,                0.56225,                0.62247,                0.34042,                0.86738,                  2.013,                0.84869,                0.84976,             0.00091263,             0.00091263,             0.00091263
                     76,                0.95991,                 1.9495,                0.87156,                0.85932,                0.76206,                0.70492,                0.77454,                0.57556,                0.66728,                0.54647,                0.60698,                0.32478,                0.84492,                 1.9405,                0.84078,                0.84765,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.0109,                 1.8976,                 0.8782,                0.86212,                0.74387,                0.68607,                0.75917,                0.55309,                0.63353,                0.56038,                  0.604,                0.33101,                0.89323,                 2.0374,                0.88156,                0.85516,             0.00089848,             0.00089848,             0.00089848
                     78,                0.97241,                 1.9207,                0.88159,                0.86013,                0.74817,                0.68428,                0.76046,                0.57735,                0.65315,                0.56877,                0.62097,                0.35461,                0.82607,                 2.0499,                0.86892,                0.85099,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.0004,                 1.9882,                0.88042,                0.85882,                0.76995,                 0.7006,                0.77252,                0.57421,                 0.6624,                 0.5765,                0.62485,                0.34572,                0.88609,                 2.0089,                0.84621,                0.85299,             0.00088434,             0.00088434,             0.00088434
                     80,                0.99516,                 1.9451,                0.87052,                0.85692,                0.76861,                0.70099,                0.77232,                0.56708,                0.67084,                0.56162,                0.61731,                0.33346,                0.90504,                 1.9693,                0.85422,                 0.8542,             0.00087726,             0.00087726,             0.00087726
                     81,                0.97956,                 1.8907,                0.87202,                0.85779,                0.74807,                0.68654,                0.76285,                0.57771,                0.67149,                0.56622,                0.62638,                0.36324,                0.81728,                 1.9905,                0.86935,                0.84691,             0.00087019,             0.00087019,             0.00087019
                     82,                0.97256,                 1.9561,                0.86533,                0.85404,                0.74767,                0.68746,                0.76456,                0.58544,                0.67893,                0.57146,                0.63718,                0.37679,                0.80297,                 2.0681,                0.86701,                0.84481,             0.00086312,             0.00086312,             0.00086312
                     83,                0.94179,                 1.9516,                0.85806,                0.86019,                 0.7625,                0.70222,                0.77412,                0.58336,                0.67326,                0.55034,                0.61643,                0.34109,                0.83622,                 1.9171,                0.83541,                0.84551,             0.00085604,             0.00085604,             0.00085604
                     84,                0.92042,                 1.8345,                0.84916,                0.85747,                0.77668,                0.70492,                0.78212,                0.59145,                0.68102,                0.56187,                0.62669,                0.34488,                0.83238,                 1.9346,                0.83195,                0.84477,             0.00084897,             0.00084897,             0.00084897
                     85,                0.95086,                 1.9213,                0.85436,                0.85607,                0.76277,                0.69152,                0.76791,                0.59231,                0.67586,                0.58572,                0.63337,                0.36452,                0.79072,                 2.0836,                0.88951,                0.84118,              0.0008419,              0.0008419,              0.0008419
                     86,                0.91961,                 1.8576,                0.83761,                0.85193,                0.75784,                 0.6865,                0.76525,                0.58854,                0.66696,                0.57007,                0.62229,                0.34806,                0.79967,                 1.9381,                0.85977,                0.84454,             0.00083482,             0.00083482,             0.00083482
                     87,                0.91403,                 1.8151,                0.83983,                0.85768,                0.76589,                0.69836,                0.77645,                0.60203,                 0.6605,                0.57972,                0.63294,                 0.3691,                0.78361,                 1.9324,                0.81727,                 0.8429,             0.00082775,             0.00082775,             0.00082775
                     88,                0.93736,                 1.9615,                0.85589,                0.85419,                  0.762,                0.69877,                0.77465,                0.59359,                0.67332,                0.57488,                 0.6333,                0.35835,                0.80012,                 2.0074,                0.84925,                0.84119,             0.00082067,             0.00082067,             0.00082067
                     89,                0.92669,                 1.9294,                 0.8553,                0.85464,                0.74297,                0.69487,                0.76578,                 0.5564,                0.66318,                0.55428,                0.60845,                0.33074,                0.85215,                 2.1588,                0.88161,                0.84398,              0.0008136,              0.0008136,              0.0008136
                     90,                0.91017,                   1.83,                0.84364,                0.86137,                0.75743,                0.71231,                 0.7804,                0.58756,                0.69212,                0.55691,                0.62646,                0.35437,                0.79563,                 1.9628,                0.81767,                0.84133,             0.00080653,             0.00080653,             0.00080653
                     91,                0.93595,                 1.9139,                0.84959,                0.85726,                0.76224,                0.70507,                0.77614,                0.59938,                0.68591,                 0.5728,                0.63676,                0.36275,                0.78773,                 1.9397,                0.82129,                0.84296,             0.00079945,             0.00079945,             0.00079945
                     92,                0.94567,                 1.8935,                0.85365,                0.85482,                 0.7699,                0.70294,                0.78026,                0.59982,                0.68297,                0.57571,                0.63872,                  0.358,                0.81756,                  1.946,                 0.8237,                0.84485,             0.00079238,             0.00079238,             0.00079238
                     93,                0.90774,                 1.8795,                0.82963,                0.85225,                0.77439,                 0.7186,                0.78761,                0.61052,                0.69307,                0.57123,                0.63856,                0.37081,                0.77652,                 1.9574,                0.81807,                0.83887,             0.00078531,             0.00078531,             0.00078531
                     94,                0.92869,                 1.8548,                0.84317,                 0.8563,                0.78297,                0.71226,                0.79021,                0.60538,                0.68624,                 0.5761,                0.63737,                0.36692,                 0.7884,                 1.9161,                0.80703,                0.83977,             0.00077823,             0.00077823,             0.00077823
                     95,                0.90751,                  1.852,                0.83335,                0.85295,                0.78212,                0.71069,                0.78772,                0.58474,                0.67607,                0.57293,                 0.6278,                0.33686,                0.85932,                  1.924,                0.81837,                0.84633,             0.00077116,             0.00077116,             0.00077116
                     96,                0.91847,                 1.8588,                0.83643,                0.85303,                0.77113,                0.71674,                0.78315,                0.59392,                0.66773,                0.58369,                0.63174,                0.34922,                0.83059,                 1.9632,                0.82631,                0.84423,             0.00076409,             0.00076409,             0.00076409
                     97,                0.94374,                 1.9167,                0.85289,                0.85296,                0.77853,                0.71679,                0.78852,                0.61082,                0.68463,                0.57869,                0.63623,                0.36078,                0.76719,                 1.8981,                0.80316,                0.83966,             0.00075701,             0.00075701,             0.00075701
